stream_count,sm_counts,estimated_makespan,selected
1,"[114]",297500,0
2,"[82,32]",199050,1
3,"[82,16,16]",199600,0
3,"[82,24,8]",199500,0
4,"[82,16,8,8]",199600,0
5,"[82,8,8,8,8]",200750,0
